name,website,email,phone,address,notes
CarTech Zw,eazybuy.co.zw,osdirwai33@gmail.com,+263 774 362 528,"Robert Mugabe, Harare, Zimbabwe ","Car accessories, aftermarket installations."
CASA Building Material & CASA Technology,,Casaharare@gmail.com,+263 78 752 9993,"bay7 No.32 Simon mazorozed rd southerton, Harare, Zimbabwe",
YouthWyze Zimbabwe,satregional.org,,,"13 Duthie Road, Belgravia,, Belgravia, Zimbabwe",
Sard Investments,,,+263 77 444 0309,,
Mega Save Wholesalers,megasave.co.zw,reception@megasave.co.zw,,"74 Glenara Avenue (North), Highlands, Harare, Zimbabwe","Mega Save is a retailer and wholesaler of food, beverages, building material, agricultural inputs, ha"
Tondlite Engineering - PVT LTD,tondlite.co.zw,projects@tondlite.co.zw,+263 71 339 0173,"201 Rainham , Harare, Zimbabwe",
Eastview Elites Running Club,,,+263 71 833 0568,,Eastview Elites Running Club is a group or runners who are passionate about running and fitness. We
AluConsult & Technical Services,aluconsult.co.zw,info@aluconsult.co.zw,+263 77 490 2195,"9 Sawley Close, Marlborough, Harare, Zimbabwe",Aluconsult & Technical Services Pvt Ltd is a private registered corporation under the Zimbabwean Law
Auto Ecu Service ,autoecuservicezim.co.zw,autoecuservice@gmail.com,+263 78 726 3701,"Corner Nelson Mandela and Enterprise , Harare, Zimbabwe","We are experts in vehicle diagnosis and repairs, Hybrid vehicle service and maintanance, key cutting"
Crystal Clearview Fencing Zim,crystalclearviewfencing.co.zw,sales@crystalclearviewfencing.co.zw,+263 77 255 3524,"18 Glenara Avenue, Harare, Zimbabwe",We take pride in supply only the highest quality materials & fittings of Clearview fencing.
KFC Zimbabwe,kfc.co.zw,,+263 77 305 7930,"Maasdorp Avenue, Belgravia, Harare, Zimbabwe",KFC is world famous for its Original Recipe® fried chicken -- made with the same secret blend of 11 h
The Perfume Shop ZW,theperfumeshop.co.zw,perfumeshopzw@gmail.com,+263 78 254 7620,"Shop 11, Shamwari Complex, Belgravia, Harare, Zimbabwe",
Beckys,officialbeckyk.com,rebecca.mdb@gmail.com,,,"Born for the mic, to inspire; born for an audience. Becky, a vibrant, classy MC."
DMAC Lifestyle Centre,,dmaczimbabwe@gmail.com,+263 77 693 7172,"40 JAMES MARTIN LOCHINVAR HARARE, Harare, Zimbabwe, Nyanga Zimbabwe ",Fine dining and Events Planning.
Susurumba Resorts,,susurumbatravel@gmail.com,+263 71 947 2421,,"Susurumba Resorts perfectly located in Nyanga; a place of great natural beauty, whose scenery boasts"
Makestruct,makestructdesign.com,admin@makestructdesign.com,+263 78 023 7777,,Construction|Renovations|Finishings #Extrememakeover in Commercial|Residential|Industrial projects.
Kumusha garden & resorts,,kumushagardensandresorts@gmail.com,+263 71 900 7757,"Plot 3,Mayfair and Lisheen Farms,Mutangadura,Ruwa, Goromonzi, Zimbabwe",An authentic African paradise where you can get a taste of various tourism features in a home setting
Mollson Cleaning Services ~ Mollson Cleaners Pvt Ltd,,,077 166 4589,,
Ixar Tech,ixar.tech,sales@ixar.tech,+263 78 632 9089,"Jason Moyo, Harare, Zimbabwe","Ixar Technologies is a company offering technology products, services, and training for technicians."
HD Chemicals,,htiniga@gmail.com,+263 77 332 2138,"111 Josiah Chinamano Avenue , #10 , Harare, Zimbabwe",HD Chemicals is devoted to producing household and industrial detergents of unparalleled quality. Ch
Miles Electronics,,,+263 73 269 6999,"Corner Innez Terrace And Speak Opposite joina city bakers Inn MidTown Mall Shop Number 8 N, Harare, Zimbabwe","We Sell Smart Watches, Mobile Phones and Accessories https://wa.me/c/263732696999"
FOOD Planet zw,,,+263 77 493 9735,"57 Jason Moyo Avenue, Batanai Mall first floor, Harare, Zimbabwe",Restaurant
Epoxy Floors and Tile,,mapoxie@gmail.com,+263 77 260 5478,,epoxy floors and floor tailing
Leone Natural Stone,leonenaturalstone.com,sales@leonenaturalstone.com,+263 71 299 5474,"36 Lawson Avenue, Milton Park, Harare, Zimbabwe",We are Leone Natural Stone and we are inspired by the beauty of the imperfections of nature. We offe
Deelair,deelair.com,hello@deelair.com,+263 71 269 2854,,"The best place to buy consumer electronics, clothing, spares, home items & more… Deals in the air"
City Glass Zim,cityglass.co.zw,reception@cityglass.co.zw,+263 24 2774374,"16792 Bessemer Rd, Graniteside, Harare, Zimbabwe",Welcome to CITY GLASS the leading Glass Suppliers and Distributors in Zimbabwe and the Region.
Dynamic Solar Store,,,+263 78 505 4851,"Corner Orr street and south Avenue near Mohammed Mussa, Harare, Zimbabwe",Your one stop solar lighting shop
Azam TV Agent Zw,,,+263 78 868 8111,,"television, entertainment"
Silver Stream Distribution ,silverstreamdistribution.com,sales@silverstreamdistribution.com,+263 71 909 0983,"16 Lisburn Road, Workington, Harare, Zimbabwe","Distributors of Sable Chickens, Baba John's Chickens, Fish"
